iter	Passed	Remaining
412	3791	5388
413	3800	5379
414	3810	5372
415	3819	5361
416	3828	5352
417	3838	5344
418	3850	5339
419	3860	5331
420	3871	5324
421	3882	5318
422	3893	5310
423	3904	5304
424	3915	5297
425	3923	5287
426	3934	5279
427	3944	5271
428	3955	5264
429	3964	5255
430	3973	5245
431	3983	5236
432	3992	5228
433	4003	5220
434	4012	5211
435	4022	5203
436	4033	5195
437	4044	5189
438	4055	5182
439	4064	5173
440	4071	5161
441	4081	5152
442	4090	5142
443	4100	5134
444	4111	5127
445	4120	5117
446	4129	5109
447	4139	5100
448	4150	5093
449	4160	5085
450	4171	5077
451	4181	5069
452	4193	5063
453	4202	5054
454	4210	5043
455	4220	5034
456	4229	5025
457	4238	5015
458	4248	5007
459	4258	4999
460	4267	4990
461	4277	4980
462	4286	4971
463	4295	4961
464	4305	4953
465	4315	4944
466	4323	4934
467	4335	4928
468	4346	4921
469	4357	4913
470	4366	4904
471	4378	4897
472	4388	4890
473	4400	4882
474	4409	4873
475	4419	4864
476	4429	4856
477	4438	4847
478	4448	4838
479	4464	4836
480	4474	4828
481	4485	4820
482	4497	4814
483	4508	4806
484	4519	4798
485	4531	4792
486	4545	4787
487	4556	4780
488	4568	4773
489	4580	4767
490	4593	4761
491	4607	4757
492	4617	4748
493	4629	4742
494	4642	4736
495	4652	4727
496	4666	4722
497	4676	4714
498	4688	4707
499	4700	4700
500	4712	4693
501	4723	4686
502	4734	4678
503	4747	4671
504	4759	4665
505	4770	4656
506	4781	4649
507	4791	4640
508	4802	4632
509	4817	4628
510	4828	4621
511	4839	4612
512	4851	4605
513	4863	4599
514	4875	4591
515	4888	4585
516	4901	4579
517	4913	4571
518	4925	4564
519	4935	4555
520	4946	4547
521	4957	4539
522	4970	4532
523	4981	4525
524	4993	4517
525	5004	4509
526	5014	4500
527	5025	4492
528	5037	4484
529	5046	4475
530	5116	4518
531	5128	4511
532	5139	4502
533	5149	4493
534	5161	4486
535	5175	4480
536	5186	4472
537	5198	4463
538	5209	4455
539	5220	4447
540	5233	4439
541	5245	4432
542	5264	4430
543	5277	4423
544	5288	4415
545	5298	4406
546	5310	4398
547	5323	4390
548	5333	4381
549	5345	4373
550	5356	4364
551	5369	4357
552	5381	4349
553	5392	4341
554	5403	4332
555	5414	4324
556	5425	4314
557	5434	4305
558	5446	4296
559	5459	4289
560	5469	4280
561	5482	4272
562	5493	4263
563	5506	4256
564	5518	4248
565	5529	4239
566	5540	4230
567	5551	4222
568	5562	4213
569	5572	4203
570	5583	4195
571	5596	4187
572	5606	4177
573	5617	4169
574	5628	4160
575	5640	4151
576	5651	4143
577	5662	4134
578	5673	4125
579	5685	4116
580	5696	4108
581	5707	4098
582	5718	4089
583	5728	4080
584	5740	4072
585	5750	4062
586	5762	4054
587	5775	4046
588	5787	4038
589	5798	4029
590	5808	4019
591	5818	4010
592	5830	4001
593	5841	3992
594	5853	3984
595	5863	3974
596	5873	3964
597	5888	3958
598	5900	3950
599	5912	3941
600	5923	3932
601	5934	3923
602	5945	3914
603	5956	3905
604	5968	3896
605	5978	3886
606	5990	3878
607	6001	3869
608	6011	3859
609	6023	3851
610	6034	3842
611	6047	3833
612	6058	3825
613	6069	3815
614	6082	3807
615	6095	3799
616	6106	3790
617	6117	3781
618	6129	3772
619	6141	3763
620	6153	3755
621	6164	3746
622	6176	3737
623	6188	3728
624	6198	3719
625	6207	3708
626	6217	3698
627	6228	3689
628	6239	3680
629	6248	3669
630	6260	3660
631	6269	3650
632	6281	3641
633	6293	3633
634	6305	3624
635	6316	3615
636	6326	3605
637	6338	3596
638	6349	3587
639	6358	3576
640	6370	3567
641	6381	3558
642	6391	3548
643	6403	3540
644	6414	3530
645	6424	3520
646	6435	3511
647	6448	3502
648	6457	3492
649	6468	3483
650	6478	3472
651	6487	3462
652	6497	3452
653	6509	3443
654	6519	3433
655	6528	3423
656	6539	3413
657	6549	3404
658	6559	3394
659	6569	3384
660	6580	3374
661	6592	3366
662	6605	3357
663	6616	3348
664	6626	3338
665	6636	3328
666	6647	3318
667	6656	3308
668	6667	3298
669	6677	3289
670	6687	3278
671	6698	3269
672	6709	3260
673	6721	3251
674	6733	3241
675	6745	3233
676	6756	3223
677	6767	3213
678	6778	3204
679	6788	3194
680	6802	3186
681	6812	3176
682	6822	3166
683	6833	3156
684	6843	3147
685	6855	3137
686	6865	3128
687	6876	3118
688	6887	3108
689	6896	3098
690	6908	3089
691	6919	3079
692	6929	3069
693	6940	3060
694	6951	3050
695	6963	3041
696	6974	3032
697	6984	3022
698	6994	3011
699	7005	3002
700	7018	2993
701	7028	2983
702	7038	2973
703	7049	2964
704	7061	2954
705	7073	2945
706	7082	2935
707	7094	2925
708	7104	2915
709	7117	2907
710	7127	2897
711	7139	2887
712	7151	2878
713	7163	2869
714	7173	2859
715	7183	2849
716	7193	2839
717	7204	2829
718	7215	2819
719	7226	2810
720	7235	2799
721	7246	2790
722	7257	2780
723	7268	2771
724	7278	2760
725	7289	2751
726	7300	2741
727	7312	2732
728	7323	2722
729	7334	2712
730	7346	2703
731	7357	2693
732	7368	2683
733	7378	2673
734	7389	2664
735	7399	2654
736	7410	2644
737	7423	2635
738	7434	2625
739	7445	2616
740	7456	2606
741	7467	2596
742	7478	2586
743	7489	2577
744	7501	2567
745	7510	2557
746	7523	2548
747	7534	2538
748	7544	2528
749	7556	2518
750	7565	2508
751	7576	2498
752	7587	2488
753	7597	2478
754	7609	2469
755	7621	2459
756	7632	2449
757	7643	2440
758	7654	2430
759	7664	2420
760	7674	2410
761	7685	2400
762	7695	2390
763	7706	2380
764	7718	2370
765	7731	2361
766	7743	2352
767	7754	2342
768	7765	2332
769	7777	2323
770	7789	2313
771	7801	2304
772	7814	2294
773	7826	2285
774	7838	2275
775	7849	2265
776	7858	2255
777	7871	2246
778	7882	2236
779	7893	2226
780	7905	2216
781	7916	2206
782	7929	2197
783	7940	2187
784	7950	2177
785	7960	2167
786	7971	2157
787	7982	2147
788	7992	2137
789	8004	2127
790	8015	2117
791	8028	2108
792	8039	2098
793	8049	2088
794	8060	2078
795	8071	2068
796	8081	2058
797	8090	2048
798	8102	2038
799	8113	2028
800	8125	2018
801	8137	2008
802	8148	1999
803	8159	1989
804	8170	1979
805	8182	1969
806	8193	1959
807	8204	1949
808	8216	1939
809	8229	1930
810	8241	1920
811	8252	1910
812	8263	1900
813	8275	1890
814	8285	1880
815	8297	1871
816	8306	1860
817	8318	1850
818	8330	1841
819	8341	1831
820	8351	1820
821	8362	1810
822	8374	1801
823	8384	1790
824	8397	1781
825	8408	1771
826	8419	1761
827	8433	1751
828	8443	1741
829	8454	1731
830	8466	1721
831	8477	1711
832	8488	1701
833	8498	1691
834	8509	1681
835	8520	1671
836	8546	1664
837	8581	1658
838	8612	1652
839	8627	1643
840	8655	1636
841	8668	1626
842	8680	1616
843	8692	1606
844	8705	1596
845	8717	1586
846	8727	1576
847	8737	1566
848	8749	1556
849	8761	1546
850	8773	1536
851	8783	1525
852	8793	1515
853	8805	1505
854	8815	1495
855	8826	1484
856	8836	1474
857	8848	1464
858	8861	1454
859	8871	1444
860	8883	1434
861	8894	1423
862	8906	1413
863	8918	1403
864	8929	1393
865	8938	1383
866	8951	1373
867	8961	1362
868	8972	1352
869	8984	1342
870	8994	1332
871	9007	1322
872	9018	1311
873	9028	1301
874	9040	1291
875	9049	1281
876	9061	1270
877	9072	1260
878	9084	1250
879	9096	1240
880	9107	1230
881	9119	1220
882	9129	1209
883	9141	1199
884	9154	1189
885	9165	1179
886	9177	1169
887	9189	1158
888	9198	1148
889	9210	1138
890	9220	1127
891	9231	1117
892	9243	1107
893	9254	1097
894	9265	1086
895	9277	1076
896	9289	1066
897	9301	1056
898	9313	1046
899	9323	1035
900	9336	1025
901	9346	1015
902	9358	1005
903	9368	994
904	9379	984
905	9390	974
906	9402	964
907	9413	953
908	9423	943
909	9437	933
910	9448	923
911	9459	912
912	9470	902
913	9482	892
914	9493	881
915	9504	871
916	9513	861
917	9524	850
918	9535	840
919	9547	830
920	9556	819
921	9570	809
922	9583	799
923	9593	789
924	9604	778
925	9615	768
926	9628	758
927	9640	747
928	9651	737
929	9661	727
930	9675	717
931	9687	706
932	9699	696
933	9711	686
934	9723	675
935	9737	665
936	9750	655
937	9762	645
938	9776	635
939	9789	624
940	9802	614
941	9814	604
942	9828	594
943	9840	583
944	9853	573
945	9871	563
946	9893	553
947	9911	543
948	9930	533
949	9952	523
950	9973	513
951	9994	503
952	10019	494
953	10040	484
954	10060	474
955	10082	464
956	10099	453
957	10117	443
958	10140	433
959	10159	423
960	10182	413
961	10201	402
962	10213	392
963	10227	381
964	10244	371
965	10264	361
966	10295	351
967	10319	341
968	10337	330
969	10351	320
970	10362	309
971	10374	298
972	10387	288
973	10401	277
974	10413	267
975	10426	256
976	10437	245
977	10452	235
978	10466	224
979	10478	213
980	10490	203
981	10503	192
982	10517	181
983	10531	171
984	10544	160
985	10556	149
986	10569	139
987	10581	128
988	10593	117
989	10608	107
990	10621	96
991	10633	85
992	10644	75
993	10656	64
994	10669	53
995	10681	42
996	10692	32
997	10705	21
998	10717	10
999	10728	0
