iter	RMSE
247	478186.2586
248	477469.2962
249	476842.2695
250	475827.6931
251	475287.3179
252	474334.5435
253	473712.4311
254	472867.0232
255	471759.7191
256	471226.2871
257	470363.3182
258	469093.9083
259	468043.5945
260	466561.5376
261	465481.0257
262	464910.8493
263	464386.2593
264	463945.3328
265	463116.3805
266	462135.0609
267	461386.3973
268	460273.2457
269	459541.5415
270	458873.765
271	458294.0573
272	457492.9641
273	456273.0527
274	455887.1186
275	454849.9652
276	454498.7584
277	454050.8285
278	452955.8235
279	451474.1859
280	451010.0587
281	449837.4273
282	448874.847
283	447428.3426
284	446490.2534
285	445593.1918
286	444524.2566
287	443687.0845
288	442455.6104
289	441733.2315
290	440808.1364
291	439934.598
292	438809.8765
293	437555.2391
294	437050.2987
295	436160.741
296	435038.5663
297	434115.9521
298	433136.6385
299	432572.0399
300	431598.8127
301	430923.0758
302	429731.3671
303	428836.693
304	428020.558
305	427450.0213
306	426877.2939
307	426185.7318
308	425450.0984
309	424614.1814
310	423917.4583
311	423279.8819
312	422217.9416
313	421259.0983
314	420510.0978
315	419629.7446
316	418972.5797
317	417979.8079
318	417212.4274
319	416304.0974
320	415585.6439
321	415145.0953
322	414503.8357
323	413823.5404
324	412723.786
325	412013.0323
326	411569.3441
327	411164.4153
328	410221.0851
329	409587.4269
330	409160.8441
331	408376.8032
332	407221.0523
333	406596.9637
334	406303.1583
335	405414.5193
336	404737.6913
337	404163.3405
338	403250.4003
339	402783.5963
340	402209.7835
341	401228.2093
342	400606.1055
343	399501.8332
344	399061.8764
345	398306.5556
346	397173.6814
347	396537.0379
348	395719.9047
349	395211.6669
350	394490.0731
351	393548.6545
352	393007.7426
353	392298.3147
354	391789.5636
355	391211.6704
356	390503.7135
357	390098.5878
358	389454.724
359	388806.2884
360	388256.664
361	387246.7007
362	386590.6534
363	386250.0037
364	385630.5193
365	384894.915
366	384231.5431
367	383824.4139
368	383154.2724
369	382687.894
370	382013.3968
371	381401.0953
372	380668.4454
373	380130.7234
374	379510.8272
375	379013.1047
376	378232.1526
377	377711.8003
378	377289.9371
379	376426.8758
380	375913.9278
381	375341.0184
382	374636.6963
383	373938.233
384	373276.0134
385	372663.1105
386	372319.0453
387	371647.128
388	370901.625
389	370271.8505
390	369344.9114
391	368594.8467
392	367997.1483
393	367414.7404
394	366734
395	366216.3096
396	365356.4102
397	364685.0565
398	363865.3581
399	363365.2947
400	362733.6579
401	362119.0953
402	361811.5276
403	361156.2363
404	360736.1616
405	359910.2597
406	359500.7496
407	358648.1934
408	358129.2211
409	357701.435
410	357116.427
411	356536.4733
412	355807.4811
413	355100.0595
414	354363.1785
415	353686.5732
416	353171.9841
417	352322.7224
418	351831.4438
419	351420.7923
420	351128.9727
421	350627.7116
422	349984.9945
423	349322.8175
424	348653.488
425	348245.5292
426	347552.4002
427	346753.0448
428	346365.8416
429	345800.5092
430	344924.684
431	344260.3232
432	343790.2785
433	343173.3355
434	342587.8721
435	341983.713
436	341214.637
437	340813.5994
438	340277.0526
439	339695.9156
440	339301.6418
441	338780.3659
442	338331.1675
443	337649.1071
444	337011.3314
445	336379.9725
446	335895.3958
447	335238.3445
448	334538.9576
449	334117.8742
450	333467.1644
451	332942.2015
452	332803.6113
453	332444.4134
454	331908.3577
455	331287.8755
456	330846.3561
457	330392.4107
458	329644.7235
459	329186.9935
460	328666.3263
461	328319.7474
462	327417.6198
463	327106.2136
464	326538.5878
465	325951.6164
466	325466.0263
467	324835.9783
468	324329.0654
469	323786.6895
470	323123.9827
471	322762.2667
472	322513.6557
473	322132.9394
474	321851.6153
475	320991.0129
476	320678.7748
477	320326.3411
478	319965.7099
479	319469.3287
480	318662.8418
481	318250.5595
482	317698.408
483	317380.1312
484	316971.2812
485	316345.1506
486	315927.0479
487	315354.0903
488	314821.8776
489	314240.0629
490	314036.6909
491	313686.9259
492	312961.5209
493	312478.4184
494	311975.4588
495	311794.7078
496	311112.4774
497	310705.3348
498	310367.876
499	309655.3882
500	309298.3942
501	308506.9338
502	307958.2927
503	307597.0192
504	307262.9678
505	306839.8862
506	306502.6884
507	306073.2321
508	305635.0673
509	305068.5652
510	304484.7638
511	304134.6371
512	303997.0596
513	303709.9809
514	303116.9296
515	302865.5927
516	302584.7026
517	302021.193
518	301701.5661
519	301175.8089
520	300707.1072
521	300060.9347
522	299521.8679
523	298738.5844
524	298310.3927
525	297962.4014
526	297295.0548
527	297085.7818
528	296723.9864
529	296098.0969
530	295568.3405
531	295130.6881
532	294691.5718
533	294240.0482
534	293769.978
535	293298.869
536	292740.9163
537	292397.1115
538	292020.9632
539	291691.3861
540	291374.9824
541	290724.872
542	290159.922
543	289617.4517
544	289176.8605
545	288453.6169
546	287977.1091
547	287459.0128
548	287073.2828
549	286572.1205
550	286123.7616
551	285713.16
552	285322.6458
553	284880.033
554	284603.2627
555	284141.2435
556	283704.5738
557	282993.5657
558	282559.1083
559	282127.2472
560	281597.7706
561	281201.0918
562	280926.7323
563	280277.1515
564	279915.8522
565	279198.7913
566	278757.1209
567	278139.2547
568	277684.1151
569	277467.4624
570	277110.0673
571	276786.3308
572	276544.6719
573	276001.0098
574	275518.9273
575	275137.8683
576	274570.5859
577	274144.3112
578	273824.0944
579	273448.0573
580	272965.3168
581	272684.4733
582	272103.42
583	271722.5382
584	271077.3722
585	270362.1138
586	269933.0123
587	269519.5851
588	269349.6924
589	268972.1725
590	268503.9045
591	268352.3203
592	267909.9804
593	267320.9023
594	266683.0241
595	266127.1263
596	265909.56
597	265648.5434
598	265121.2595
599	264858.6254
600	264363.4941
601	263819.4042
602	263446.4028
603	262881.9027
604	262638.4394
605	262147.5245
606	261894.3485
607	261395.6693
608	260803.9619
609	260472.1751
610	259734.7226
611	259415.1539
612	259074.0645
613	258573.929
614	258374.8419
615	258053.8795
616	257579.7081
617	256836.2285
618	256377.9887
619	255888.5869
620	255479.8037
621	255106.4323
622	254369.7764
623	254045.6843
624	253346.8656
625	252896.17
626	252592.2485
627	252081.2937
628	251777.1711
629	251494.3487
630	251286.2302
631	251032.4206
632	250822.0136
633	250476.9057
634	250153.3869
635	249749.7345
636	249318.3794
637	248783.4435
638	248354.9181
639	247930.9299
640	247446.9395
641	247121.7681
642	246918.116
643	246640.1412
644	246350.2574
645	245992.738
646	245591.2829
647	245214.1947
648	244871.1113
649	244091.7233
650	243775.8066
651	243360.7372
652	242970.6607
653	242575.1462
654	242312.0675
655	242100.0461
656	241640.3423
657	240885.2414
658	240539.5549
659	240186.085
660	239926.4899
661	239495.5309
662	239104.6723
663	238613.5563
664	238335.9025
665	238136.9384
666	237672.8493
667	237097.0114
668	236858.5499
669	236376.9303
670	235991.4233
671	235790.0063
672	235324.2481
673	235005.2983
674	234738.3825
675	234474.0308
676	233916.1897
677	233438.1151
678	232903.2383
679	232466.9443
680	232102.673
681	231843.7393
682	231324.3436
683	231091.6158
684	230830.2321
685	230537.8397
686	230249.0228
687	229990.5366
688	229682.702
689	229276.7318
690	229043.0237
691	228704.9394
692	228313.8378
693	227927.9823
694	227640.2811
695	227363.2541
696	227031.6263
697	226662.6343
698	226324.9998
699	225891.4228
700	225485.5255
701	225109.2452
702	224820.3707
703	224740.3419
704	224322.5197
705	223973.677
706	223679.2253
707	223380.3047
708	223116.5579
709	222815.6604
710	222574.4006
711	222285.1887
712	221964.0767
713	221539.5776
714	221198.3217
715	220849.277
716	220456.7424
717	220099.7284
718	219824.629
719	219685.9768
720	219344.5853
721	219033.9387
722	218780.4512
723	218562.7846
724	218295.7983
725	217888.0749
726	217605.6446
727	217395.3496
728	216894.7452
729	216716.5274
730	216336.4848
731	215932.1462
732	215634.2582
733	215253.5625
734	214996.8697
735	214461.1498
736	213977.9732
737	213694.4568
738	213505.0126
739	213146.8213
740	212736.5867
741	212470.6551
742	212095.0136
743	211803.3413
744	211533.5653
745	211270.3799
746	211050.8359
747	210825.6887
748	210453.2545
749	210226.9124
750	209923.2829
751	209537.4836
752	209252.2835
753	208874.456
754	208543.1525
755	208256.4394
756	207960.9659
757	207792.4451
758	207514.0378
759	207393.3439
760	207193.0816
761	207065.6126
762	206670.5297
763	206383.2752
764	205980.8324
765	205866.4275
766	205711.391
767	205519.2713
768	205231.7427
769	205015.151
770	204748.3741
771	204578.29
772	204424.8388
773	204126.6938
774	203957.8838
775	203710.2611
776	203364.2672
777	203100.6988
778	202857.5556
779	202732.5806
780	202495.6546
781	202178.047
782	201796.6779
783	201313.8196
784	200917.5621
785	200683.7441
786	200529.914
787	200111.6764
788	199983.4882
789	199659.4018
790	199397.5429
791	199143.6291
792	198855.7379
793	198491.9446
794	198112.5161
795	197972.4965
796	197741.1306
797	197268.7223
798	196875.0291
799	196673.6319
800	196518.9213
801	196141.9488
802	195872.4804
803	195479.9148
804	195312.8527
805	195090.8906
806	194855.6411
807	194578.3516
808	194302.881
809	194077.6967
810	193841.2061
811	193377.8024
812	193020.2419
813	192769.0695
814	192577.4185
815	192169.579
816	191856.4097
817	191581.7669
818	191271.9073
819	190846.1911
820	190616.1252
821	190462.2764
822	190245.2141
823	189844.8933
824	189409.9255
825	189115.052
826	188759.1574
827	188380.8866
828	188086.4627
829	187813.3968
830	187537.6125
831	187226.2485
832	187063.4408
833	186698.0031
834	186327.224
835	186026.6545
836	185834.642
837	185466.5373
838	185050.8492
839	184876.6633
840	184520.5127
841	184229.9255
842	183994.811
843	183796.3744
844	183426.6244
845	183091.8019
846	182765.9252
847	182492.9832
848	182082.4759
849	181738.1384
850	181651.8184
851	181412.2627
852	181171.152
853	180963.6031
854	180734.9722
855	180449.7872
856	180085.0056
857	179843.9567
858	179446.9298
859	179240.7241
860	179086.5875
861	178787.4121
862	178608.4264
863	178425.3265
864	178182.2477
865	177817.7147
866	177547.9227
867	177405.3214
868	177176.9907
869	176941.7265
870	176643.2106
871	176377.1299
872	176077.1869
873	175826.9647
874	175431.8681
875	175171.7979
876	175059.2076
877	174726.7342
878	174399.7155
879	174253.4189
880	173956.0755
881	173781.1693
882	173486.8699
883	173235.893
884	172994.4401
885	172635.4913
886	172334.2451
887	172042.9905
888	171748.7194
889	171500.1851
890	171209.1085
891	170890.3265
892	170719.7101
893	170482.8805
894	170222.3807
895	169878.0948
896	169618.4008
897	169432.8526
898	169249.9553
899	168970.6054
900	168804.7618
901	168608.2373
902	168506.5213
903	168413.6504
904	168206.5532
905	168052.4375
906	167814.5722
907	167715.8653
908	167489.8783
909	167158.8581
910	166998.4199
911	166666.9591
912	166469.4328
913	166328.373
914	166168.787
915	165852.6024
916	165683.5082
917	165295.4555
918	164979.3368
919	164760.8088
920	164572.8301
921	164168.8756
922	163910.8965
923	163730.4257
924	163507.4145
925	163302.9799
926	163041.999
927	162865.3222
928	162605.3582
929	162514.733
930	162187.9932
931	161892.3158
932	161652.6467
933	161355.5426
934	161026.1911
935	160813.8016
936	160650.7588
937	160448.1273
938	160222.8906
939	159999.404
940	159744.0221
941	159451.313
942	159238.9877
943	158969.882
944	158901.2182
945	158803.1518
946	158588.1036
947	158469.8351
948	158333.0809
949	158115.5583
950	157884.7497
951	157606.4046
952	157435.6643
953	157238.4194
954	157069.0418
955	156875.6528
956	156636.9949
957	156392.4372
958	156118.3209
959	156002.5902
960	155829.9302
961	155681.3148
962	155426.9112
963	155354.2928
964	155121.5653
965	154856.5085
966	154685.973
967	154438.3949
968	154196.8243
969	154092.9928
970	153805.1242
971	153569.01
972	153350.03
973	153134.003
974	153011.5541
975	152898.5049
976	152678.6239
977	152288.2803
978	152155.5971
979	152058.0242
980	151757.7977
981	151585.8332
982	151428.54
983	151291.2616
984	151134.6511
985	150928.254
986	150678.4895
987	150513.1219
988	150440.5187
989	150067.1162
990	149797.9589
991	149638.8148
992	149404.7657
993	149190.2891
994	148948.4663
995	148892.9764
996	148709.8056
997	148623.8813
998	148417.8656
999	148281.2728
